Mean: 18.048249934761312, Std. Dev.: 0.8279203243184365, Std. Err.: 0.026181139459915515, n: 1000, rTot: 1000, t: 2.065126895904541
Mean: 17.997199520720116, Std. Dev.: 0.8004985525734322, Std. Err.: 0.025313986898000875, n: 1000, rTot: 1000, t: 2.0644941329956055, f: Ax^n, A: 1.0, n: 2.0
Mean: 17.979672211899302, Std. Dev.: 0.8339440576574512, Std. Err.: 0.026371626633603287, n: 1000, rTot: 1000, t: 2.0589380264282227, f: Ax^n, A: 1.0, n: 2.0
Mean: 18.00110771352838, Std. Dev.: 0.8372466744618174, Std. Err.: 0.008372466744618175, n: 10000, pTot: 1000, t: 20.115823984146118, f: Ax^n, a: -3.0, b: 3.0, A: 1.0, n: 2.0
Mean: 17.966512549613125, Std. Dev.: 0.8498667629476189, Std. Err.: 0.02687514678588871, n: 1000, pTot: 1000, t: 2.0439863204956055, f: Ax^n, a: -3.0, b: 3.0, A: 1.0, n: 2.0
Mean: 18.017336072925257, Std. Dev.: 0.8261338869421837, Std. Err.: 0.026124647349853373, n: 1000, pTot: 1000, t: 2.029006004333496, f: Ax^n, a: -3.0, b: 3.0, A: 1.0, n: 2.0
Mean: 17.993319689252985, Std. Dev.: 0.8321483097114639, Std. Err.: 0.008321483097114639, n: 10000, pTot: 1000, t: 19.93790292739868, f: Ax^n, a: -3.0, b: 3.0, A: 1.0, n: 2.0
Mean: 18.00979762845184, Std. Dev.: 0.841227320892436, Std. Err.: 0.00841227320892436, n: 10000, pTot: 1000, t: 3.3034088611602783, f: Ax^n, a: -3.0, b: 3.0, A: 1.0, n: 2.0
Mean: 18.185291935120805, Std. Dev.: 0.6968661045874629, Std. Err.: 0.2203684114665495, n: 10, pTot: 1000, t: 0.5933728218078613, f: Ax^n, a: -3, b: 3, A: 1, n: 2
Mean: 17.853464243853, Std. Dev.: 0.8166098461413623, Std. Err.: 0.08166098461413623, n: 100, pTot: 1000, t: 0.5615880489349365, f: Ax^n, a: -3, b: 3, A: 1, n: 2
Mean: 17.98460708525662, Std. Dev.: 0.8345343103089484, Std. Err.: 0.026390292061340137, n: 1000, pTot: 1000, t: 1.0297856330871582, f: Ax^n, a: -3, b: 3, A: 1, n: 2
Mean: 18.00855540171017, Std. Dev.: 0.8406663494005872, Std. Err.: 0.008406663494005871, n: 10000, pTot: 1000, t: 3.2584879398345947, f: Ax^n, a: -3, b: 3, A: 1, n: 2
Mean: 18.00355246113413, Std. Dev.: 0.8591316224040845, Std. Err.: 0.027168127366726517, n: 1000, pTot: 1000, t: 1.0608580112457275, f: Ax^n, a: -3, b: 3, A: 1, n: 2
Mean: 17.994023050513103, Std. Dev.: 0.8332827019477342, Std. Err.: 0.008332827019477343, n: 10000, pTot: 1000, t: 2.6869959831237793, f: Ax^n, a: -3, b: 3, A: 1, n: 2
